SGB	ann	leave_mean	unleave_mean	p	type	FC	group
MET0251_bin.29	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__	4.88e-08	1.42e-08	3.71779720518304	D	1.7809902180582	leave
SMGC_500	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	5.03e-07	1.81e-07	3.70326901252875	D	1.47456870272232	leave
T2108174014_metabat2_bins_bin.26	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	2.64e-05	2.6e-07	3.6888524557506	D	6.66588249610472	leave
SMGC_312	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Arsenicicoccus;s__Arsenicicoccus sp009707125	4.81e-08	1.97e-08	3.68868489199957	D	1.28784126431367	leave
MET0267_bin.8		6.64e-07	8.03e-07	3.67427093621055	C	-0.27421674617039	pass
MET0737_bin.7		9.37e-08	4.89e-08	3.67404738863361	D	0.938214582706953	pass
T2108174089_concoct_bins_bin.66	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1.43e-07	2.78e-08	3.65977209467095	D	2.36285835894224	leave
SMGC_69	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Arsenicicoccus;s__Arsenicicoccus bolidensis	5.83e-07	1.11e-07	3.64511014985843	D	2.39293620685039	leave
SMGC_49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae	4.41e-07	1.45e-07	3.63064496794297	D	1.60472575554259	leave
T2108174080_metabat2_bins_bin.62	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia;s__	1.66e-06	6.96e-08	3.63039456591565	C	4.57595212527292	leave
T2108174023_metabat2_bins_bin.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	1.04e-06	1.23e-07	3.61637310846678	D	3.07985330768921	leave
SMGC_450	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp004136275	4.6e-06	4.06e-07	3.61620796451508	D	3.50208222864656	leave
1111525849768216_bin.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	1.58e-07	2.73e-08	3.60171963785529	D	2.53295170214461	leave
MET0475_bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__Luteimonas sp004118975	6.88e-08	1.57e-08	3.60171963785529	D	2.13164400581047	leave
T2108174102_concoct_bins_bin.7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	3.41e-07	1.52e-07	3.57324157017764	D	1.16570041558059	leave
SMGC_578	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	6.06e-08	2.4e-08	3.57307903603232	D	1.33628338786443	leave
T2108173990_metabat2_bins_bin.49	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__	1.77e-07	2.48e-08	3.55892258277459	D	2.83533733458348	leave
T2108173978_concoct_bins_bin.183	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A	3.76e-07	3.96e-08	3.55768331796506	C	3.24716032648539	leave
SMGC_127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__	2.54e-07	9.63e-08	3.54439236624923	D	1.39922079381607	leave
T2108173920_concoct_bins_bin.167	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Kallipyga;s__Kallipyga gabonensis	1.14e-07	3.78e-08	3.54323023035505	C	1.59257568483103	leave
T2108173907_metabat2_bins_bin.26	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pyruviciproducens	2.76e-08	1.01e-07	3.54139085312332	A	-1.87161512086099	unleave
1111525849853811_bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	1.51e-07	2.76e-08	3.51590525302438	D	2.45180837743427	leave
T2107171985_metabat2_bins_bin.102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	2.94e-06	8.27e-08	3.50194596250246	D	5.15178501543981	leave
T2108174119_concoct_bins_bin.46	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp004339505	6.25e-08	2.37e-08	3.48777601849975	D	1.39896913065119	leave
T2108174102_concoct_bins_bin.7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	4.79e-07	1.92e-07	3.48572725475263	C	1.31891934501502	leave
T2108173910_metabat2_bins_bin.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.04e-06	5.11e-08	3.48478604350025	A	4.3471164269782	leave
T2108174098_concoct_bins_bin.72		1.17e-07	7.02e-08	3.47389732243467	D	0.736965594166206	pass
SMGC_93	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium freneyi	1.94e-07	1.14e-08	3.47363487251748	D	4.08895092290975	leave
T2108174126_concoct_bins_bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	3.17e-07	4.92e-08	3.47363487251748	D	2.68775261968753	leave
SMGC_277		3.9e-08	2.91e-08	3.47347722026289	D	0.422454970841327	pass
