name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595	1.36E-08	1.56E-08	3.92E-07	4.01E-08	3.63E-16	6.11E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp902373545	3.07E-08	2.32E-08	2.86E-07	9.70E-08	8.89E-08	0.000149382
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp916439125	2.26E-08	1.34E-07	1.31E-07	4.61E-08	6.01E-17	1.01E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis	1.71E-08	8.09E-09	1.09E-07	4.95E-07	1.23E-12	2.06E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	1.67E-08	8.58E-09	1.05E-07	2.88E-07	2.04E-06	0.003423258
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve	2.40E-08	4.53E-09	5.98E-07	6.16E-07	2.33E-13	3.91E-10
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium leopoldii	1.40E-07	4.58E-08	4.37E-07	3.81E-06	4.17E-14	7.02E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	6.99E-08	6.98E-08	3.42E-07	2.32E-07	4.00E-08	6.73E-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	3.57E-07	1.24E-07	1.24E-06	3.64E-06	5.27E-14	8.87E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	1.14E-08	2.35E-09	1.48E-07	9.49E-08	1.84E-15	3.09E-12
