name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium simulans	2.59E-08	1.14E-08	1.13E-07	2.41E-07	1.11E-05	0.018622149
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium singulare	9.88E-08	5.03E-08	6.27E-07	1.90E-06	1.51E-09	2.54E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001767255	1.06E-08	1.90E-09	3.58E-07	7.71E-07	1.30E-35	2.19E-32
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001812805	3.04E-09	7.45E-10	2.13E-08	3.12E-08	2.89E-08	4.86E-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001815935	4.03E-08	1.25E-08	1.65E-07	2.97E-07	1.37E-13	2.31E-10
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001831515	7.30E-10	2.23E-10	3.96E-09	7.40E-09	2.56E-09	4.30E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001875665	1.77E-07	3.74E-08	4.45E-07	2.71E-06	2.25E-11	3.78E-08
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp012837295	2.52E-08	5.45E-09	9.50E-08	3.56E-08	1.66E-09	2.80E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp017942225	6.59E-09	3.26E-09	3.16E-08	4.26E-08	2.52E-10	4.24E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp022288805	3.39E-08	4.78E-08	5.04E-07	5.90E-07	1.49E-21	2.51E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp025144025	1.25E-06	1.72E-07	1.65E-06	2.59E-06	4.16E-29	7.00E-26
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp025152525	1.47E-07	8.54E-08	3.56E-07	2.50E-07	1.93E-13	3.24E-10
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp900539985	5.47E-08	1.47E-08	3.67E-07	8.12E-07	1.23E-41	2.07E-38
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp915275065	1.33E-07	1.92E-07	1.90E-07	1.42E-07	2.48E-06	0.004166614
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943908385	3.56E-09	3.26E-10	1.09E-08	2.09E-08	2.95E-08	4.96E-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943912665	1.17E-07	5.97E-08	6.72E-07	2.39E-06	1.74E-18	2.93E-15
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943913395	7.38E-08	3.60E-09	7.09E-08	4.01E-07	2.37E-13	3.99E-10
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943913645	8.61E-09	1.77E-09	1.27E-07	7.02E-07	4.25E-21	7.15E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943914015	9.80E-08	3.48E-08	4.60E-07	4.10E-06	3.34E-17	5.61E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943914465	2.91E-08	1.71E-08	3.71E-07	5.69E-07	3.25E-09	5.47E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium suicordis	1.33E-05	3.31E-06	1.16E-05	4.21E-06	3.21E-10	5.40E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum	2.71E-07	1.05E-07	1.54E-06	3.81E-06	1.96E-36	3.30E-33
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum_C	1.94E-07	8.40E-08	1.05E-06	2.62E-06	4.53E-35	7.62E-32
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum_D	1.60E-06	4.31E-07	6.53E-06	9.96E-06	9.36E-37	1.57E-33
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium variabile	2.24E-07	8.37E-08	9.19E-07	3.29E-07	9.10E-12	1.53E-08
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis_A	3.70E-08	5.03E-09	1.26E-07	3.96E-07	2.02E-07	0.000338722
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium wankanglinii	1.56E-06	2.02E-07	3.91E-06	1.18E-05	1.26E-19	2.13E-16
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis	4.82E-08	2.68E-08	3.45E-07	1.38E-07	4.41E-09	7.41E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus erythropolis_D	2.39E-07	1.01E-07	3.28E-07	1.70E-07	7.60E-13	1.28E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus fascians	1.10E-07	2.07E-08	3.66E-07	2.60E-07	3.06E-24	5.14E-21
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus qingshengii	5.06E-07	2.10E-07	5.15E-07	3.36E-07	2.68E-15	4.50E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001426185	1.36E-09	2.65E-10	3.00E-08	5.16E-08	1.62E-05	0.027163571
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp002259405	4.73E-08	8.49E-09	1.13E-07	2.50E-07	3.04E-10	5.10E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp002259485	4.40E-09	1.19E-09	9.38E-08	2.31E-08	8.00E-08	0.000134528
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia flavescens	3.72E-08	9.48E-09	4.78E-07	1.15E-07	1.38E-17	2.33E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia propionica	4.61E-08	1.96E-08	1.75E-07	1.22E-06	8.80E-21	1.48E-17
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia rubra	3.62E-08	1.37E-08	2.42E-07	7.37E-08	1.32E-05	0.022270832
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333945	3.07E-07	7.59E-08	1.16E-07	2.97E-07	3.90E-10	6.56E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp905372155	3.47E-08	2.42E-08	1.38E-07	1.91E-07	9.11E-15	1.53E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__	0.000178264	0.000237478	0.000111011	9.95E-05	2.72E-19	4.58E-16
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	0.000498128	0.000514902	0.00027906	0.000236541	7.79E-17	1.31E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium granulosum	1.40E-05	3.42E-05	1.07E-05	8.34E-06	5.90E-11	9.92E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	1.64E-07	6.92E-08	5.15E-07	3.24E-06	1.73E-22	2.92E-19
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia	1.28E-07	4.99E-08	7.20E-07	2.89E-06	1.79E-10	3.01E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccalis	6.23E-09	1.56E-09	4.93E-08	2.91E-07	2.27E-24	3.81E-21
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella colorans	4.77E-08	1.51E-08	3.22E-07	1.25E-06	8.50E-16	1.43E-12
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	5.01E-08	3.09E-08	1.90E-07	3.85E-07	1.01E-08	1.69E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella corporis	8.93E-08	3.37E-08	2.90E-07	1.22E-06	3.97E-10	6.67E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella denticola	5.60E-08	3.88E-08	1.60E-07	4.87E-08	1.24E-09	2.09E-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens	6.83E-08	2.17E-08	2.62E-07	4.62E-06	1.53E-13	2.58E-10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella intermedia	2.68E-07	1.18E-07	5.82E-07	2.65E-07	5.08E-16	8.54E-13
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella jejuni	2.16E-08	9.87E-09	1.41E-07	3.67E-08	1.76E-06	0.002954664
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella loescheii	4.95E-08	7.81E-08	1.03E-07	8.66E-08	5.48E-09	9.22E-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	1.52E-08	7.79E-09	4.16E-08	9.82E-08	6.43E-11	1.08E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica	7.16E-07	4.75E-07	4.11E-06	7.84E-07	1.25E-11	2.09E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica_A	4.64E-08	4.26E-08	2.98E-07	6.76E-08	7.23E-12	1.21E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nanceiensis	6.58E-08	5.15E-08	4.21E-07	4.83E-08	1.16E-10	1.95E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nigrescens	7.83E-08	4.57E-08	2.15E-07	8.78E-08	3.05E-13	5.13E-10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oris	8.04E-08	4.55E-08	2.32E-07	1.12E-07	3.46E-11	5.81E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oulorum	3.92E-08	1.31E-08	1.24E-07	2.65E-08	1.40E-05	0.023471277
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	1.86E-07	6.90E-08	9.33E-07	1.27E-07	1.19E-10	2.00E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella saccharolytica	9.54E-09	1.58E-08	2.28E-08	1.67E-07	1.52E-10	2.55E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella scopos	8.72E-09	1.06E-09	4.26E-08	3.13E-09	3.94E-12	6.62E-09
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella shahii	6.09E-09	4.99E-09	7.97E-08	1.49E-08	1.28E-10	2.15E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000163055	9.60E-08	2.37E-08	1.07E-07	1.70E-08	2.12E-06	0.003560745
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000479005	3.36E-09	1.19E-09	1.30E-08	1.81E-07	2.25E-15	3.79E-12
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000758925	1.45E-08	5.19E-09	2.96E-08	2.06E-07	1.16E-08	1.95E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp015074785	8.06E-08	6.46E-08	4.34E-07	1.48E-06	5.57E-07	0.000937014
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900547085	6.78E-08	3.32E-08	3.95E-07	2.06E-06	1.57E-24	2.63E-21
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900548585	4.95E-08	1.20E-08	8.14E-08	6.62E-07	3.93E-09	6.61E-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis	1.05E-07	4.18E-08	4.91E-07	4.36E-06	2.42E-23	4.07E-20
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	1.63E-08	6.75E-09	7.34E-08	8.65E-07	1.27E-18	2.13E-15
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella vespertina	4.79E-08	3.38E-08	2.26E-07	5.84E-08	1.47E-11	2.48E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	8.56E-08	6.85E-08	5.47E-07	7.03E-07	1.63E-13	2.74E-10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica	6.99E-09	2.26E-09	3.30E-08	2.88E-07	4.35E-17	7.31E-14
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas catoniae	8.22E-09	2.22E-09	4.75E-08	4.33E-09	2.39E-08	4.02E-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis	1.64E-07	1.09E-07	5.49E-07	3.15E-07	7.28E-11	1.22E-07
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	3.79E-07	4.07E-07	8.62E-07	3.62E-07	1.36E-06	0.002288328
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas pasteri	3.79E-07	3.00E-07	2.02E-06	4.97E-07	2.23E-11	3.75E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp003640335	1.93E-07	7.89E-08	5.85E-07	6.60E-07	7.57E-06	0.012733101
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900539155	1.28E-09	1.47E-09	4.41E-08	1.66E-07	9.62E-06	0.016177089
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900546675	1.38E-08	6.71E-09	4.06E-08	3.66E-07	8.39E-13	1.41E-09
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp927910985	6.86E-08	2.78E-08	1.90E-07	5.63E-08	8.27E-08	0.00013906
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis	8.94E-09	4.20E-09	6.58E-08	8.16E-07	8.73E-19	1.47E-15
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A	1.81E-08	6.52E-09	7.97E-08	5.32E-07	1.70E-13	2.86E-10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__	1.75E-07	4.29E-08	7.97E-07	3.21E-06	7.13E-20	1.20E-16
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A bennonis	6.62E-08	2.67E-08	5.33E-07	2.26E-06	1.09E-20	1.83E-17
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae	1.18E-08	3.52E-09	5.63E-08	2.95E-07	6.20E-06	0.010426592
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	8.23E-08	2.99E-08	4.46E-07	1.65E-06	1.21E-17	2.04E-14
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp900541275	9.29E-08	3.60E-08	2.13E-06	6.53E-06	5.52E-15	9.27E-12
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__	3.64E-07	5.61E-08	5.20E-07	2.94E-07	8.39E-06	0.014099039
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium nematocida	6.46E-09	1.34E-09	2.78E-07	1.82E-08	7.26E-10	1.22E-06
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium siyangense	7.20E-08	2.08E-08	6.16E-08	2.17E-08	3.37E-11	5.67E-08
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp002322865	9.46E-10	4.38E-10	9.31E-09	5.60E-09	3.49E-06	0.005861531
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A concisus_L	4.33E-09	2.26E-09	1.11E-08	4.88E-09	2.69E-10	4.53E-07
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A curvus	2.10E-09	7.55E-10	5.42E-09	4.54E-08	1.91E-05	0.032098791
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__Campylobacter_A showae_A	3.53E-09	5.63E-09	8.13E-08	2.31E-08	2.18E-06	0.003664308
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__	2.25E-08	5.37E-08	6.09E-08	2.05E-07	1.66E-08	2.78E-05
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B hominis	8.21E-09	3.68E-09	3.34E-08	3.33E-07	5.13E-12	8.63E-09
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus	4.00E-09	3.63E-09	2.24E-08	4.46E-07	6.99E-16	1.18E-12
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B ureolyticus_A	8.33E-10	2.99E-09	7.17E-09	6.69E-08	5.32E-12	8.95E-09
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__	7.78E-06	2.40E-06	1.31E-05	1.34E-05	3.34E-10	5.62E-07
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus indicus	6.68E-08	5.49E-09	2.73E-07	1.38E-07	4.91E-09	8.25E-06
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus reticulitermitis	8.98E-08	8.02E-09	3.41E-07	1.52E-07	2.58E-14	4.34E-11
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875	2.68E-08	8.92E-10	6.90E-08	5.87E-08	4.56E-08	7.66E-05
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus wulumuqiensis	3.44E-07	1.10E-07	1.64E-06	1.85E-06	2.36E-16	3.96E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	3.54E-06	1.79E-06	8.97E-06	5.09E-06	1.98E-10	3.33E-07
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus	7.55E-08	3.72E-08	4.72E-07	1.61E-06	1.04E-17	1.74E-14
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii	7.04E-07	4.69E-07	1.63E-06	1.02E-06	1.82E-12	3.07E-09
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ilei	9.41E-08	1.28E-07	6.58E-07	3.02E-07	1.09E-21	1.83E-18
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	1.46E-07	9.82E-08	4.62E-07	2.94E-07	8.47E-11	1.42E-07
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AD	1.28E-07	5.48E-08	5.08E-07	2.86E-07	2.06E-17	3.46E-14
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BB	9.38E-08	3.66E-08	2.65E-07	1.61E-07	3.13E-14	5.27E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BF	4.64E-08	2.18E-08	1.57E-07	3.22E-07	9.46E-16	1.59E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BM	1.19E-07	4.46E-08	3.38E-07	2.33E-07	1.42E-15	2.38E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_F	1.45E-07	6.30E-08	4.01E-07	2.58E-07	2.93E-14	4.93E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_L	1.50E-07	5.89E-08	4.78E-07	2.84E-07	2.55E-16	4.29E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_Y	1.21E-07	5.71E-08	3.71E-07	2.16E-07	1.64E-14	2.76E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	1.30E-07	8.72E-08	1.30E-06	1.73E-07	8.51E-06	0.014298375
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis	7.36E-08	3.44E-08	2.50E-07	1.07E-07	4.63E-14	7.78E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_BC	5.45E-08	3.89E-08	2.75E-07	9.73E-08	4.08E-15	6.87E-12
